Pi (Pa)            ,Pf (Pa)            ,Vi (m³)             ,Vf (m³)            ,ΔP (Pa)            ,ΔV (m³)             ,C = ΔV / ΔP (m⁴·s²/kg) ,Cr = (ΔV / ΔP)*(1/Z) (m⁴·s²/kg)
354804.52,709609.05,850.75,425.38,354804.52,-425.38,-0.0012,-0.00133
356331.66,712663.32,855.28,427.64,356331.66,-427.64,-0.0012,-0.00133
357858.79,715717.59,859.8,429.9,357858.79,-429.9,-0.0012,-0.00133
359385.93,718771.86,864.32,432.16,359385.93,-432.16,-0.0012,-0.00134
360913.07,721826.13,868.84,434.42,360913.07,-434.42,-0.0012,-0.00134
362440.2,724880.4,873.37,436.68,362440.2,-436.68,-0.0012,-0.00134
363967.34,727934.67,877.89,438.94,363967.34,-438.94,-0.00121,-0.00134
365494.47,730988.94,882.41,441.21,365494.47,-441.21,-0.00121,-0.00134
367021.61,734043.22,886.93,443.47,367021.61,-443.47,-0.00121,-0.00134
368548.74,737097.49,891.46,445.73,368548.74,-445.73,-0.00121,-0.00134
370075.88,740151.76,895.98,447.99,370075.88,-447.99,-0.00121,-0.00135
371603.02,743206.03,900.5,450.25,371603.02,-450.25,-0.00121,-0.00135
373130.15,746260.3,905.03,452.51,373130.15,-452.51,-0.00121,-0.00135
374657.29,749314.57,909.55,454.77,374657.29,-454.77,-0.00121,-0.00135
376184.42,752368.84,914.07,457.04,376184.42,-457.04,-0.00121,-0.00135
377711.56,755423.12,918.59,459.3,377711.56,-459.3,-0.00122,-0.00135
379238.69,758477.39,923.12,461.56,379238.69,-461.56,-0.00122,-0.00135
380765.83,761531.66,927.64,463.82,380765.83,-463.82,-0.00122,-0.00135
382292.96,764585.93,932.16,466.08,382292.96,-466.08,-0.00122,-0.00135
383820.1,767640.2,936.68,468.34,383820.1,-468.34,-0.00122,-0.00136
385347.24,770694.47,941.21,470.6,385347.24,-470.6,-0.00122,-0.00136
386874.37,773748.74,945.73,472.86,386874.37,-472.86,-0.00122,-0.00136
388401.51,776803.02,950.25,475.13,388401.51,-475.13,-0.00122,-0.00136
389928.64,779857.29,954.77,477.39,389928.64,-477.39,-0.00122,-0.00136
391455.78,782911.56,959.3,479.65,391455.78,-479.65,-0.00123,-0.00136
392982.91,785965.83,963.82,481.91,392982.91,-481.91,-0.00123,-0.00136
394510.05,789020.1,968.34,484.17,394510.05,-484.17,-0.00123,-0.00136
396037.19,792074.37,972.86,486.43,396037.19,-486.43,-0.00123,-0.00136
397564.32,795128.64,977.39,488.69,397564.32,-488.69,-0.00123,-0.00137
399091.46,798182.91,981.91,490.95,399091.46,-490.95,-0.00123,-0.00137
400618.59,801237.19,986.43,493.22,400618.59,-493.22,-0.00123,-0.00137
402145.73,804291.46,990.95,495.48,402145.73,-495.48,-0.00123,-0.00137
403672.86,807345.73,995.48,497.74,403672.86,-497.74,-0.00123,-0.00137
405200.0,810400.0,1000.0,500.0,405200.0,-500.0,-0.00123,-0.00137
